Country;Population
Afghanistan;38041754
Albania;2854191
Algeria;43053054
Andorra;77142
Angola;31825295
Antigua and Barbuda;97118
Argentina;44938712
Armenia;2957731
Austria;8877067
Australia;25690000
Azerbaijan;10023318
Bahrain;1501635
Bangladesh;167310838
Barbados;287025
Belarus;9466856
Belgium;11484055
Belize;390353
Benin;11801151
Bhutan;727145
Bolivia;11513100
Bosnia and Herzegovina;3301000
Botswana;2346179
Brazil;212559417
Brunei;433285
Bulgaria;6975761
Burkina Faso;20321378
Burundi;11530580
Cape Verde;483628
Cambodia;16486542
Cameroon;25876380
Canada;36991981
Central African Republic;4745185
Chad;15946876
Channel Islands;#CAMPO!
Chile;18952038
China;1397715000
Colombia;50339443
Comoros;850886
Congo;5380508
Costa Rica;5047561
Ivory Coast;25716544
Croatia;4067500
Cuba;11333483
Cyprus;1198575
Czech Republic;10669709
Denmark;5818553
Djibouti;973560
Dominica;71808
Dominican Republic;10738958
Democratic Republic of the Congo;86790567
Ecuador;17373662
Egypt;100388073
El Salvador;6453553
Equatorial Guinea;1355986
Eritrea;6333135
Estonia;1331824
Eswatini;1093238
Ethiopia;112078730
Faroe Islands;53882
Finland;5520314
France;67059887
French Guiana;294436
Gabon;2172579
Gambia;2347706
Georgia;3720382
Germany;83132799
Ghana;30792608
Gibraltar;34003
Greece;10716322
Grenada;112003
Guatemala;16604026
Guinea;12771246
Guinea-Bissau;1920922
Guyana;782766
Haiti;11263077
Vatican City;836
Honduras;9746117
Hong Kong;7507400
Hungary;9769949
Iceland;361313
India;1366417754
Indonesia;270203917
Iran (Islamic Republic of);82913906
Iraq;39309783
Ireland;5007069
Isle of Man;84584
Israel;9053300
Italy;60297396
Jamaica;2948279
Japan;126226568
Jordan;10101694
Kazakhstan;18513930
Kenya;52573973
Kuwait;4207083
Kyrgyzstan;6456900
Laos;7169455
Latvia;1912789
Lebanon;6855713
Lesotho;2125268
Liberia;4937374
Libya;6777452
Liechtenstein;38019
Lithuania;2786844
Luxembourg;645397
Macau;682300
Madagascar;26969307
Malawi;18628747
Malaysia;32447385
Maldives;530953
Mali;19658031
Malta;502653
Mauritania;4525696
Mauritius;1265711
Mayotte;299348
Mexico;126014024
Moldova;2657637
Monaco;38964
Mongolia;3225167
Montenegro;622137
Morocco;36910560
Mozambique;30366036
Myanmar;54045420
Namibia;2494530
Nepal;28608710
Netherlands;17332850
New Zealand;5123000
Nicaragua;6545502
Niger;23310715
Nigeria;200963599
North Korea;25666161
Republic of North Macedonia;1836713
Norway;5347896
Oman;5266535
Pakistan;216565318
Panama;4246439
Paraguay;7044636
Peru;32510453
Philippines;108116615
Poland;37970874
Portugal;10269417
Qatar;2832067
Réunion;868846
Romania;19356544
Russian Federation;144373535
Rwanda;12626950
Saint Helena;5661
Saint Kitts and Nevis;52823
Saint Lucia;182790
Saint Vincent and the Grenadines;100455
San Marino;33860
São Tomé and Príncipe;215056
Saudi Arabia;34268528
Senegal;16296364
Serbia;6944975
Seychelles;97625
Sierra Leone;7813215
Singapore;5703569
Slovakia;5454073
Slovenia;2087946
Somalia;15442905
South Africa;58558270
South Korea;51709098
South Sudan;11062113
Spain;47076781
Sri Lanka;21803000
Palestinian National Authority;#CAMPO!
Sudan;42813238
Suriname;581372
Sweden;10285453
Switzerland;8574832
Syria;17070135
Taiwan;23340136
Tajikistan;9321018
Tanzania;58005463
Thailand;69625582
Bahamas;389482
Timor-Leste;3500000
Togo;8082366
Trinidad and Tobago;1394973
Tunisia;11694719
Türkiye;83429615
Turkmenistan;5942089
Uganda;44269594
Ukraine;44385155
United Arab Emirates;9770529
The United Kingdom;66834405
United States of America;328239523
Uruguay;3461734
Uzbekistan;33580650
Venezuela;28515829
Vietnam;96462106
Western Sahara;#CAMPO!
Yemen;29161922
Zambia;17861030
Zimbabwe;14645468
