,Date_reported,Country,Cumulative_cases,Cumulative_deaths,Population,Period_deaths,Period_cases,Cases_per_Capita,Death_per_Capita,cluster
14002,2020-04-30,Bangladesh,0.2318191447507793,0.1564245810055866,167310838,0.1564299424184261,0.23943263303560197,0.058927594349845416,0.3425718445922755,1
20410,2020-04-30,Bhutan,0.0,0.0,727145,0.0,0.0,0.010263400963039923,0.0,1
78082,2020-04-30,India,1.0,1.0,1366417754,1.0,0.9999999999999999,0.029838461885614013,0.26815583036325924,1
79150,2020-04-30,Indonesia,0.30599521835184457,0.7374301675977654,270203917,0.6295585412667946,0.2700654170335891,0.047662895347725755,1.0,1
105850,2020-04-30,Maldives,0.011772538813061768,0.0,530953,0.0,0.011793936344194239,1.0,0.0,0
118666,2020-04-30,Myanmar,0.00432769421662682,0.00558659217877095,54045420,0.0047984644913627635,0.004182916090074223,0.0010527088782321663,0.03787553822714527,1
120802,2020-04-30,Nepal,0.0015131797960233637,0.0,28608710,0.0,0.0015410743489747136,0.0,0.0,1
160318,2020-04-30,Sri Lanka,0.019429228580939987,0.006517690875232775,21803000,0.0047984644913627635,0.01648006038495408,0.037339055216371916,0.10953382255106213,1
166726,2020-04-30,Thailand,0.08918681717761705,0.05027932960893855,69625582,0.04222648752399232,0.04088564599320669,0.05435945077605289,0.26460093850144173,1
168862,2020-04-30,Timor-Leste,0.0005144811306479435,0.0,3500000,0.0,0.000629009938357026,0.0065400713389081894,0.0,1
